name,owner,stars,age_days,merged_pull_requests,releases,update_frequency_days,primary_language,closed_issues_ratio,health_index
openai-cookbook,openai,75497,1626,1087,0,0,Jupyter Notebook,0.9014598540145984,0.2902154817057364
obs-studio,obsproject,75350,4709,5582,247,0,C,0.8463316002310803,0.4242132512368336
caddy,caddyserver,75139,4239,2394,136,1,Go,0.956550076037367,0.3976954446789835
cs-self-learning,PKUFlyingPig,75122,1768,319,5,10,HTML,0.453781512605042,0.24429696407168514
learn-claude-code,shareAI-lab,75019,420,82,0,4,Python,0.8177339901477833,0.39247328377011304
cpython,python,74713,3480,62781,0,0,Python,0.909457826679349,0.6454370332984096
unsloth,unslothai,74502,998,3680,55,0,Python,0.7779349363507779,0.42260943012900576
superset,apache,74427,4050,19757,267,0,Python,0.9832688816983663,0.6065874139665133
Agent-Reach,Panniantong,74410,180,172,7,11,Python,0.6763285024154589,0.3708452845045225
screenshot-to-code,abi,74378,1012,83,0,9,Python,0.7029702970297029,0.3974286590272214
awesome-react,enaqx,74373,4400,799,0,3,,0.9606299212598424,0.44537654653392383
hello-agents,datawhalechina,74330,350,171,3,5,Python,0.797427652733119,0.38878962286328933
LlamaFactory,hiyouga,74299,1183,1020,36,3,Python,0.8759651307596513,0.42928378501227504
awesome-machine-learning,josephmisiti,74127,4421,930,0,2,Python,0.9915254237288136,0.5329177634574239
tabby,Eugeny,74082,3530,1580,209,2,TypeScript,0.5724214184173116,0.4938818058429407
the-algorithm,twitter,73865,1245,2,0,348,Scala,0.6952908587257618,0.23264652282834636
union,unionlabs,73848,1194,3128,113,28,Rust,0.9305103148751356,0.3006280241702093
Front-End-Checklist,thedaviddias,73618,3233,180,2,9,MDX,0.9806451612903224,0.344328133254422
awesome-vue,vuejs,73538,3960,3655,0,30,,0.8247863247863247,0.4188001301499583
awesome-scalability,binhnguyennus,73482,3161,37,0,231,,,0.30675079015056034
stable-diffusion,CompVis,73338,1474,5,0,796,Jupyter Notebook,0.2702702702702703,0.16612788755044575
awesome-claude-skills,ComposioHQ,73088,310,38,0,12,Python,0.0758620689655172,0.3083164735764001
ai-agents-for-beginners,microsoft,73055,633,505,0,5,Jupyter Notebook,0.992,0.2686510155305343
SecLists,danielmiessler,73019,5299,709,30,0,PHP,0.9755351681957186,0.4114927214182581
strapi,strapi,73007,3980,10395,541,1,TypeScript,0.979926259729619,0.6225644050677319
awesome-cpp,fffaraz,72891,4420,886,0,1,,0.6070826306913997,0.40146186688263663
ghidra,NationalSecurityAgency,72697,2732,586,55,3,Java,0.747268873308332,0.46341216302612437
anime,juliangarnier,72353,3814,87,37,1,JavaScript,0.8857479387514723,0.5069220615881187
OpenBB,OpenBB-finance,72201,2072,4303,56,23,Python,0.9780645161290322,0.476583820283759
reveal.js,hakimel,72168,5555,415,51,93,JavaScript,0.6804615996816554,0.5339648754900292
Apollo-11,chrislgarry,72158,4525,0,0,39,Assembly,,0.31381496781826024
flask,pallets,72143,5983,1633,38,6,Python,1.0,0.5876289827815867
moby,moby,71992,4964,23059,308,0,Go,0.8608968381791982,0.48476200448325496
daytona,daytonaio,71910,929,2505,205,30,,0.7491961414790996,0.3356101166942845
protobuf,protocolbuffers,71811,4380,9776,219,0,C++,0.9818840579710144,0.43498628202565653
AFFiNE,toeverything,71798,1483,9358,569,0,TypeScript,0.8493013972055888,0.535626711185689
30-Days-Of-Python,Asabeneh,71700,2469,145,0,2,Python,0.5,0.41954841316213987
act,nektos,71610,2789,1061,97,13,Go,0.8058035714285714,0.3282843098434647
MiroFish,666ghj,71445,270,27,3,6,Python,0.8428927680798005,0.3909117106047113
gpt_academic,binary-husky,71221,1252,228,32,210,Python,0.8329596412556054,0.4115301168076203
awesome-courses,prakhar1989,70619,4298,194,0,1207,,0.4767441860465116,0.2919274445305762
ansible,ansible,70438,5283,40061,252,3,Python,0.9842698645294417,0.6901152880027308
swift,swiftlang,70277,3956,60743,70,0,Swift,0.5786516853932584,0.47943209990403074
MetaGPT,FoundationAgents,69966,1150,673,22,214,Python,0.9825641025641024,0.4240032878859522
express,expressjs,69390,6266,555,165,0,JavaScript,0.9744283255470862,0.6101253187837794
ruflo,ruvnet,68994,446,579,1000,1,TypeScript,0.657299938912645,0.5272728307807679
node,base,68417,1299,274,86,31,Shell,0.9812834224598932,0.2981314396887435
oh-my-openagent,code-yeongyu,68287,263,2713,242,0,TypeScript,0.8151031529778123,0.4303991264456974
openinterpreter,openinterpreter,68119,1136,438,65,3,Rust,0.9981834695731152,0.2940499199495353
career-ops,santifer,67922,140,1200,37,0,JavaScript,0.8359303391384051,0.39457605187097483
